sqrt(mean(sum)),Minimo,Maximo,Media,Media-absoluta,Mediana,Mediana-abosluta,Desv-Est,std/Media,Kurtosis,Skewness,decil 0,decil 1,decil 2,decil 3,decil 4,decil 5,decil 6,decil 7,decil 8,decil 9,decil 10
0.7390077760207291,0.0,0.44091796875,0.12030584161931818,0.10200972123579546,0.105712890625,0.0997314453125,0.08987146863938497,0.8501467333647132,4.256890586079811,1.7135959933301095,0.0,0.012304687499999993,0.06826171874999999,0.08427734375000001,0.09296875,0.105712890625,0.11884765625,0.14028320312499998,0.1546875,0.17626953125000006,0.44091796875
0.7390077760207291,0.0341796875,0.14794921875,0.10203968394886363,0.10200972123579546,0.1220703125,0.0997314453125,0.040292577259522955,0.330076792910012,-1.7122095131014174,-0.2991081977670999,0.0341796875,0.046875,0.05859375,0.06542968750000001,0.07890625,0.1220703125,0.13515625,0.1376953125,0.14033203125,0.14208984375,0.14794921875
0.7390077760207291,0.05078125,0.173828125,0.09535910866477272,0.10200972123579546,0.091796875,0.0997314453125,0.02807838451560235,0.305875167489115,0.43545789847029326,0.6125976596263469,0.05078125,0.057177734375,0.07460937499999999,0.083447265625,0.084765625,0.091796875,0.09833984375000002,0.108154296875,0.11767578125,0.1267578125,0.173828125
0.7390077760207291,0.0517578125,0.173828125,0.10525790127840909,0.10200972123579546,0.11279296875,0.0997314453125,0.038642132792932805,0.3425934543719757,-1.5191353108623455,0.07424161567408276,0.0517578125,0.058251953125,0.06279296875,0.0677734375,0.09189453125,0.11279296875,0.11865234375000001,0.134912109375,0.14228515625,0.156591796875,0.173828125
0.7390077760207291,0.03125,0.1328125,0.07512872869318182,0.10200972123579546,0.075927734375,0.0997314453125,0.025843120832381064,0.34036470395316026,-0.29640070596105117,0.4232547466054766,0.03125,0.043896484375,0.048046875,0.061376953125000015,0.07001953125,0.075927734375,0.0794921875,0.0865234375,0.0919921875,0.10703125000000001,0.1328125
0.7390077760207291,0.0400390625,0.14892578125,0.09161931818181818,0.10200972123579546,0.09033203125,0.0997314453125,0.02263383428776708,0.25056266281809175,0.5779630745221755,0.4405683258487405,0.0400390625,0.065869140625,0.07373046875,0.07861328125,0.08408203125,0.09033203125,0.09794921875000001,0.10166015625,0.105859375,0.11879882812500003,0.14892578125
0.7390077760207291,0.04833984375,0.16357421875,0.11239346590909091,0.10200972123579546,0.112548828125,0.0997314453125,0.04044802100682201,0.35938198274174177,-1.639896376080519,-0.10135501035581569,0.04833984375,0.0611328125,0.07099609375,0.07895507812500001,0.09384765625,0.112548828125,0.13974609375000005,0.151513671875,0.156640625,0.160009765625,0.16357421875
0.7390077760207291,0.0419921875,0.1455078125,0.09339488636363637,0.10200972123579546,0.09375,0.0997314453125,0.023441370831914617,0.25004128887375593,-0.3306029121512246,0.15605590135937103,0.0419921875,0.0634765625,0.07421875,0.08095703125,0.08564453125,0.09375,0.0990234375,0.1083984375,0.1109375,0.122265625,0.1455078125
0.7390077760207291,0.041015625,0.1689453125,0.12819602272727273,0.10200972123579546,0.138671875,0.0997314453125,0.03626583291165451,0.2615226260671424,-0.33283946671234954,-0.870120581472007,0.041015625,0.074267578125,0.09267578125,0.11816406250000001,0.12763671875,0.138671875,0.15029296875,0.156298828125,0.16083984375,0.16474609375,0.1689453125
0.7390077760207291,0.04052734375,0.16357421875,0.09640225497159091,0.10200972123579546,0.084716796875,0.0997314453125,0.04118579162196015,0.48615850859812326,-1.437678009065234,0.2748689886301833,0.04052734375,0.048486328125,0.0556640625,0.06870117187500001,0.07578125,0.084716796875,0.10537109375000005,0.12514648437499998,0.14443359375,0.152978515625,0.16357421875
